Area,Latitude,Longitude,Date,Crime_Type
Kukatpally,17.487059570692537,78.39600221854708,2023-10-16 07:52:00,Ganja Smuggling
Chintal,17.495999212040623,78.43518675774249,2023-04-06 17:28:00,Theft
Chintal,17.47879695045439,78.44323356780369,2023-06-08 17:36:00,Auto Theft
Ameerpet,17.430839393797697,78.44306212508492,2023-02-12 10:07:00,Theft
Ameerpet,17.440075503907227,78.44745554084234,2023-05-15 01:55:00,Burglary
Miyapur,17.48891672879482,78.3613741564872,2023-03-06 18:24:00,Assault
Chintal,17.48685621949199,78.45174902335044,2023-10-01 15:50:00,Auto Theft
Chintal,17.5018351548729,78.4589579370855,2023-03-29 06:17:00,Theft
Ameerpet,17.435356755167437,78.44130805789536,2023-11-17 04:39:00,Auto Theft
Ameerpet,17.43704597344713,78.45036936726163,2023-03-18 10:38:00,Theft
Chintal,17.477594636748695,78.44263702270398,2023-01-11 21:48:00,Theft
Ameerpet,17.42199336568934,78.44888562974806,2023-05-30 04:35:00,Theft
Chintal,17.491780128409896,78.42360301134933,2023-07-09 18:15:00,Auto Theft
Ameerpet,17.42912418608237,78.45497186065582,2023-04-13 13:58:00,Burglary
Miyapur,17.496630338997665,78.36057769591974,2023-09-17 10:56:00,Robbery
Chintal,17.490098827942486,78.45611822871777,2023-07-07 04:24:00,Auto Theft
Kukatpally,17.491945106990137,78.41025292468846,2023-08-12 01:04:00,Burglary
Kukatpally,17.50333997786495,78.41748593857326,2023-04-03 13:12:00,Auto Theft
Miyapur,17.498248330119917,78.34463145107641,2023-01-02 23:49:00,Assault
Banjara Hills,17.419945010648803,78.4251550273804,2023-11-30 08:47:00,Burglary
Kukatpally,17.503020601599946,78.41856792982655,2023-03-16 14:50:00,Assault
Banjara Hills,17.42170512218495,78.43440274642313,2023-07-23 09:30:00,Robbery
Banjara Hills,17.43994422159062,78.43563765430153,2023-09-14 15:59:00,Theft
Banjara Hills,17.412553040053265,78.41899188016473,2023-11-21 06:40:00,Burglary
Ameerpet,17.419667489378345,78.44576865539592,2023-05-04 19:14:00,Burglary
Chintal,17.486223952057188,78.45171590805948,2023-04-02 05:33:00,Theft
Kukatpally,17.485304809548214,78.39363102668437,2023-03-23 22:55:00,Assault
Miyapur,17.503601092403642,78.35772478871552,2023-09-12 02:10:00,Kidnapping
Miyapur,17.49708208718446,78.3453702970217,2023-05-03 06:49:00,Theft
Chintal,17.491686394691726,78.44101820750637,2023-09-13 07:34:00,Auto Theft
Miyapur,17.49954449119871,78.35937207490981,2023-06-02 18:03:00,Robbery
Chintal,17.475667343785457,78.45324995654192,2023-07-06 15:59:00,Auto Theft
Ameerpet,17.42189442927563,78.46820348089106,2023-06-09 21:09:00,Assault
Chintal,17.488998337163398,78.44970907368072,2023-01-22 13:04:00,Auto Theft
Kukatpally,17.495442800190958,78.38882255222072,2023-06-24 14:51:00,Burglary
Ameerpet,17.43019633368283,78.45036458589583,2023-05-12 12:47:00,Burglary
Kukatpally,17.508434354909518,78.40788765977605,2023-03-07 14:36:00,Robbery
Ameerpet,17.424420857003305,78.42829400450422,2023-09-18 05:10:00,Robbery
Banjara Hills,17.430412910770265,78.42792584332285,2023-09-20 20:16:00,Robbery
Miyapur,17.49175054688839,78.35026670767427,2023-01-14 22:16:00,Auto Theft
Banjara Hills,17.415310617487425,78.45714806606011,2023-06-25 12:44:00,Ganja Smuggling
Kukatpally,17.487492585967704,78.38680080266738,2023-04-11 05:56:00,Kidnapping
Chintal,17.48069995665882,78.44566594155133,2023-02-24 17:01:00,Theft
Ameerpet,17.432007470926358,78.45916796254441,2023-08-10 07:57:00,Kidnapping
Banjara Hills,17.42892411303932,78.4203985862204,2023-09-08 04:20:00,Burglary
Miyapur,17.49651813611195,78.36435935281793,2023-07-31 04:39:00,Auto Theft
Banjara Hills,17.410575424741687,78.43530896607118,2023-09-03 05:51:00,Assault
Ameerpet,17.418526230175114,78.46100540761678,2023-09-03 17:04:00,Theft
Banjara Hills,17.419468485127663,78.4354097241564,2023-12-13 21:22:00,Theft
Chintal,17.476050514799287,78.45421316116928,2023-04-16 10:36:00,Auto Theft
Miyapur,17.497602995786334,78.3524997461415,2023-08-23 08:57:00,Kidnapping
Miyapur,17.49621578542401,78.33963575554057,2023-02-27 11:05:00,Auto Theft
Miyapur,17.505495998754334,78.35987299520878,2023-02-12 03:32:00,Auto Theft
Chintal,17.46533238945517,78.46219566338615,2023-03-21 09:52:00,Theft
Ameerpet,17.450276648957885,78.44228428611164,2023-10-06 04:13:00,Auto Theft
Ameerpet,17.453028597758394,78.44380482124525,2023-10-15 21:28:00,Kidnapping
Chintal,17.484240268590185,78.48083985126088,2023-03-24 18:20:00,Theft
Chintal,17.483387094093402,78.45814023544564,2023-02-11 02:03:00,Theft
Ameerpet,17.4566231763984,78.45885227082547,2023-06-02 21:44:00,Burglary
Kukatpally,17.491374111317693,78.40209314541623,2023-03-04 08:20:00,Robbery
Miyapur,17.497258045581937,78.35002838288489,2023-01-27 11:02:00,Auto Theft
Kukatpally,17.503689842942773,78.40456064233227,2023-05-25 12:44:00,Kidnapping
Banjara Hills,17.407545577262084,78.42113214515582,2023-06-02 17:30:00,Robbery
Miyapur,17.50804354338409,78.35202618269426,2023-10-01 23:40:00,Burglary
Ameerpet,17.430315557787477,78.44606552848288,2023-05-22 02:36:00,Burglary
Kukatpally,17.486882800213447,78.3878802314555,2023-03-01 20:28:00,Auto Theft
Miyapur,17.4896765739888,78.35631804514465,2023-11-10 04:55:00,Auto Theft
Chintal,17.495901711592786,78.4596334202507,2023-02-12 19:09:00,Ganja Smuggling
Ameerpet,17.44440143991711,78.44418779528114,2023-06-18 14:44:00,Kidnapping
Miyapur,17.498740924818105,78.35692592400783,2023-07-17 03:16:00,Burglary
Kukatpally,17.4900808025871,78.40177206477894,2023-01-13 06:00:00,Theft
Chintal,17.499504115484136,78.46646087790243,2023-04-15 06:39:00,Theft
Kukatpally,17.493690680643706,78.40936309126482,2023-02-15 23:23:00,Auto Theft
Miyapur,17.49492276041746,78.34324942044483,2023-08-29 20:09:00,Burglary
Miyapur,17.488517647819684,78.34342155176192,2023-12-12 12:42:00,Kidnapping
Chintal,17.481046777908027,78.43229388990973,2023-02-27 12:44:00,Auto Theft
Kukatpally,17.502219630165296,78.4143665862543,2023-03-31 21:53:00,Robbery
Miyapur,17.484182692324904,78.35869584920161,2023-12-31 19:03:00,Theft
Chintal,17.490906152512885,78.44816222044733,2023-03-31 10:18:00,Ganja Smuggling
Chintal,17.486354601547475,78.46067816311974,2023-03-15 07:30:00,Auto Theft
Banjara Hills,17.412652436997185,78.43516980593765,2023-05-20 01:24:00,Auto Theft
Miyapur,17.49199934528521,78.36302849932348,2023-11-09 05:33:00,Theft
Chintal,17.48870295631712,78.45344438834059,2023-05-20 16:32:00,Ganja Smuggling
Miyapur,17.488221069210844,78.3537613556457,2023-12-19 21:13:00,Robbery
Kukatpally,17.50659297184064,78.4002751848141,2023-03-29 10:37:00,Kidnapping
Kukatpally,17.48459616752738,78.39690905562071,2023-01-31 17:18:00,Auto Theft
Banjara Hills,17.424096230788333,78.43995211712692,2023-08-12 08:38:00,Kidnapping
Ameerpet,17.438040708742605,78.45060351156077,2023-11-13 01:02:00,Robbery
Ameerpet,17.41720769144906,78.46781303471964,2023-07-31 10:22:00,Burglary
Miyapur,17.47946617560645,78.35624452301104,2023-06-05 09:37:00,Kidnapping
Banjara Hills,17.401119450938445,78.42867743797119,2023-06-29 05:30:00,Assault
Kukatpally,17.47305117497347,78.4199214252596,2023-05-28 01:51:00,Ganja Smuggling
Kukatpally,17.49846598246097,78.39020120213674,2023-04-30 15:52:00,Assault
Kukatpally,17.499477795462077,78.39975064381579,2023-10-17 16:50:00,Auto Theft
Banjara Hills,17.399797088717648,78.42168396674259,2023-07-18 01:25:00,Auto Theft
Chintal,17.4660414324015,78.45342941250792,2023-02-05 22:25:00,Auto Theft
Miyapur,17.495480504875204,78.35722134081743,2023-10-08 08:24:00,Ganja Smuggling
Chintal,17.488725054983394,78.46803460891603,2023-09-22 13:35:00,Auto Theft
Miyapur,17.49828128425761,78.35715635459852,2023-11-27 09:34:00,Kidnapping
Miyapur,17.498420903806327,78.37277112722522,2023-06-20 05:21:00,Auto Theft
Miyapur,17.50226556963056,78.35991250154544,2023-11-08 17:14:00,Ganja Smuggling
Ameerpet,17.436220824085193,78.438644595594,2023-04-26 22:06:00,Theft
Banjara Hills,17.41519921469136,78.42178963929102,2023-03-08 07:02:00,Kidnapping
Miyapur,17.480894940856174,78.35886689463001,2023-09-16 06:43:00,Theft
Ameerpet,17.450930988181078,78.43512342931817,2023-09-26 04:33:00,Ganja Smuggling
Ameerpet,17.461243294034922,78.45834532692687,2023-08-22 01:43:00,Theft
Ameerpet,17.433619308102024,78.44151598031696,2023-05-15 18:13:00,Burglary
Miyapur,17.482347974804824,78.36275401135711,2023-03-20 04:21:00,Auto Theft
Chintal,17.48388577160573,78.44591506632617,2023-03-22 20:21:00,Auto Theft
Ameerpet,17.44547484204478,78.44965204060286,2023-09-27 09:52:00,Kidnapping
Kukatpally,17.500463401305193,78.40791818176106,2023-08-26 01:43:00,Robbery
Kukatpally,17.490492076120777,78.40454566602143,2023-02-14 16:03:00,Assault
Ameerpet,17.421224575621167,78.44868084946661,2023-09-28 14:38:00,Theft
Miyapur,17.494365273630926,78.3581850796239,2023-01-02 07:57:00,Assault
Ameerpet,17.446319299103834,78.43135127861032,2023-09-26 00:05:00,Robbery
Miyapur,17.516470081568432,78.37663992127686,2023-07-29 16:33:00,Auto Theft
Miyapur,17.520398782722186,78.3507558552187,2023-10-26 05:54:00,Kidnapping
Chintal,17.49201515942019,78.45473802601704,2023-07-31 20:33:00,Auto Theft
Kukatpally,17.49566589787473,78.39804322764608,2023-01-31 12:05:00,Burglary
Banjara Hills,17.415976026620754,78.43058123033879,2023-09-01 18:05:00,Assault
Banjara Hills,17.40686246199692,78.4278925572543,2023-12-13 14:17:00,Kidnapping
Ameerpet,17.445702457394862,78.43112722844373,2023-12-27 02:25:00,Ganja Smuggling
Kukatpally,17.5018792436697,78.42168450525867,2023-03-13 12:14:00,Ganja Smuggling
Chintal,17.49076927373764,78.44610899471192,2023-11-01 16:54:00,Ganja Smuggling
Banjara Hills,17.414956145581087,78.44240865193888,2023-06-05 10:10:00,Ganja Smuggling
Kukatpally,17.486051932862555,78.39559627126833,2023-08-27 05:34:00,Ganja Smuggling
Banjara Hills,17.429658248593377,78.43437669749076,2023-03-10 13:23:00,Auto Theft
Chintal,17.476586095627066,78.4401299856074,2023-05-29 13:42:00,Auto Theft
Ameerpet,17.452597713124597,78.45222034480047,2023-06-18 23:22:00,Robbery
Chintal,17.488370352281468,78.43882658620058,2023-02-19 22:27:00,Ganja Smuggling
Ameerpet,17.450369749638497,78.44375362441754,2023-02-14 23:32:00,Auto Theft
Ameerpet,17.447138503187155,78.4579355744752,2023-04-13 11:10:00,Assault
Kukatpally,17.51186163973398,78.40477015730119,2023-09-27 16:29:00,Robbery
Miyapur,17.498305308418054,78.38323571583399,2023-05-11 13:34:00,Burglary
Kukatpally,17.49589394794605,78.40685766623899,2023-12-17 19:15:00,Auto Theft
Banjara Hills,17.40469525544555,78.43941468357137,2023-12-14 10:35:00,Ganja Smuggling
Miyapur,17.490225811156225,78.3518461075707,2023-05-05 00:35:00,Kidnapping
Chintal,17.475150556064627,78.43730644175169,2023-10-28 08:18:00,Ganja Smuggling
Banjara Hills,17.42657164427549,78.42779600715699,2023-02-09 23:05:00,Burglary
Chintal,17.496022464890302,78.42509262626022,2023-11-21 02:45:00,Auto Theft
Miyapur,17.504905272502516,78.35641508279981,2023-05-20 23:39:00,Assault
Kukatpally,17.49951688105198,78.38430235696828,2023-06-02 01:27:00,Theft
Chintal,17.480316965838295,78.45735887611491,2023-04-13 07:13:00,Ganja Smuggling
Chintal,17.479508894291747,78.4466546434195,2023-05-24 10:04:00,Auto Theft
Chintal,17.478791353523537,78.4321803882035,2023-04-03 17:54:00,Auto Theft
Kukatpally,17.490319728602,78.3783590192567,2023-05-01 12:12:00,Kidnapping
Kukatpally,17.508685822690403,78.37300648642952,2023-09-23 05:15:00,Theft
Miyapur,17.51241717323188,78.35662076426439,2023-05-10 08:00:00,Auto Theft
Kukatpally,17.480724883052822,78.3918218331241,2023-05-08 13:15:00,Theft
Ameerpet,17.44972203346208,78.42645676435913,2023-12-18 06:15:00,Ganja Smuggling
Kukatpally,17.52051372359689,78.40109005366901,2023-11-29 06:06:00,Auto Theft
Kukatpally,17.496232154524975,78.40938292982116,2023-11-25 00:07:00,Robbery
Kukatpally,17.502938639081236,78.39019586225433,2023-01-09 10:55:00,Burglary
Ameerpet,17.426689366724002,78.45435935606945,2023-02-16 01:58:00,Robbery
Miyapur,17.479802208279317,78.37444686934263,2023-10-07 02:41:00,Theft
Banjara Hills,17.40018498769051,78.42653694590946,2023-06-10 06:25:00,Assault
Ameerpet,17.432744694558355,78.45835686945064,2023-05-15 21:49:00,Theft
Miyapur,17.492830268011197,78.36152396642841,2023-06-28 06:33:00,Kidnapping
Kukatpally,17.495942276486623,78.40110301761463,2023-01-25 23:14:00,Theft
Chintal,17.50905239538433,78.45502257284414,2023-08-13 05:58:00,Auto Theft
Kukatpally,17.484355052536003,78.39737605280112,2023-05-25 10:20:00,Robbery
Banjara Hills,17.414558452550978,78.42491627222385,2023-04-20 12:49:00,Theft
Banjara Hills,17.42289155637326,78.43942597482413,2023-01-29 08:09:00,Kidnapping
Banjara Hills,17.403612000917576,78.42560366102511,2023-01-21 10:02:00,Robbery
Ameerpet,17.436511371229546,78.47117958975997,2023-06-05 15:37:00,Auto Theft
Chintal,17.469091257686685,78.43550423033264,2023-12-21 13:45:00,Ganja Smuggling
Miyapur,17.501676590204692,78.34954256186847,2023-04-15 09:22:00,Auto Theft
Ameerpet,17.435249940966298,78.46027592170431,2023-06-04 09:20:00,Assault
Kukatpally,17.493523041493894,78.40515145288711,2023-07-05 09:57:00,Kidnapping
Banjara Hills,17.395052131594248,78.43346106021261,2023-05-23 17:50:00,Burglary
Kukatpally,17.489043621737622,78.40082009814645,2023-03-26 13:49:00,Assault
Banjara Hills,17.416345851094512,78.42421171665919,2023-12-13 14:57:00,Auto Theft
Chintal,17.48929845418728,78.44495147727625,2023-10-01 02:36:00,Ganja Smuggling
Miyapur,17.488530485642254,78.35604229172779,2023-10-24 16:36:00,Burglary
Ameerpet,17.434422143833203,78.44161101578024,2023-06-20 14:50:00,Assault
Chintal,17.474306521108627,78.44603754780992,2023-10-01 07:14:00,Theft
Banjara Hills,17.42064803178734,78.44400253345954,2023-03-15 05:03:00,Kidnapping
Chintal,17.490170503853484,78.4556445280745,2023-06-28 21:14:00,Theft
Banjara Hills,17.40949654384044,78.43585684821996,2023-09-14 06:40:00,Ganja Smuggling
Miyapur,17.504684847346386,78.35813847654246,2023-02-01 02:53:00,Ganja Smuggling
Banjara Hills,17.404407356064453,78.44085708749165,2023-05-23 02:15:00,Robbery
Kukatpally,17.494404448461434,78.40641500697373,2023-07-19 18:14:00,Assault
Miyapur,17.518410660055597,78.36020067630525,2023-03-04 05:33:00,Ganja Smuggling
Kukatpally,17.486242252505875,78.4270187834027,2023-04-04 02:15:00,Robbery
Ameerpet,17.450838596197606,78.4513781506563,2023-08-01 23:31:00,Auto Theft
Chintal,17.488952962397413,78.46543573990823,2023-06-26 16:44:00,Ganja Smuggling
Miyapur,17.503633995902057,78.35727017213125,2023-10-21 15:25:00,Theft
Banjara Hills,17.41235722720108,78.42914776000872,2023-10-08 10:32:00,Robbery
Chintal,17.49036973958454,78.42744782356435,2023-10-08 13:52:00,Auto Theft
Kukatpally,17.476186510963235,78.39660261423391,2023-04-26 04:33:00,Burglary
Miyapur,17.477163216988924,78.34472604168354,2023-12-15 13:46:00,Robbery
Banjara Hills,17.422443223984768,78.43256011155775,2023-12-14 00:42:00,Kidnapping
Banjara Hills,17.411108108402413,78.4281058658855,2023-10-27 14:13:00,Auto Theft
Kukatpally,17.479100396623426,78.40033962964074,2023-02-12 19:45:00,Theft
Miyapur,17.501185634933716,78.36188189777492,2023-11-20 14:06:00,Ganja Smuggling
Chintal,17.512516982128606,78.45299620789376,2023-07-20 05:16:00,Auto Theft
Kukatpally,17.502759065048476,78.41008530938508,2023-09-18 09:59:00,Assault
Kukatpally,17.487747892636705,78.39256379937075,2023-11-22 16:14:00,Theft
Chintal,17.46504332801006,78.43951628812907,2023-01-31 07:22:00,Auto Theft
Chintal,17.486809774850038,78.4464242133573,2023-08-16 00:36:00,Theft
Miyapur,17.479014530150426,78.34422659699572,2023-04-04 18:44:00,Robbery
Miyapur,17.49132388700964,78.35903787951639,2023-03-29 11:51:00,Auto Theft
Banjara Hills,17.414113694745705,78.44332796985792,2023-01-08 20:23:00,Robbery
Kukatpally,17.49889413417869,78.40597973270151,2023-03-01 21:11:00,Assault
Ameerpet,17.445704821811972,78.45327274031108,2023-12-28 11:47:00,Ganja Smuggling
Kukatpally,17.488308086750965,78.40440562107412,2023-02-03 22:34:00,Auto Theft
Miyapur,17.506902059282236,78.35585246626422,2023-02-24 08:09:00,Robbery
Kukatpally,17.497096279301637,78.39807528644896,2023-10-14 02:43:00,Robbery
Banjara Hills,17.410342863524306,78.43473414751179,2023-12-06 13:32:00,Kidnapping
Kukatpally,17.495046420984288,78.40049956148127,2023-04-24 05:18:00,Robbery
Ameerpet,17.43359061430335,78.44149568432954,2023-12-16 11:18:00,Robbery
Chintal,17.486547044676133,78.45109021525771,2023-06-09 16:27:00,Auto Theft
Banjara Hills,17.408135663854495,78.43664089992899,2023-12-18 10:07:00,Theft
Ameerpet,17.438829696741468,78.44119879185061,2023-06-26 08:53:00,Robbery
Kukatpally,17.48893451911479,78.4187080458846,2023-12-03 04:10:00,Assault
Ameerpet,17.453155240292343,78.44754249738926,2023-06-07 20:06:00,Robbery
Miyapur,17.482019860995837,78.33481194043381,2023-05-28 22:30:00,Ganja Smuggling
Banjara Hills,17.402387671828695,78.441783564473,2023-11-12 02:41:00,Ganja Smuggling
Ameerpet,17.424696956013292,78.4569245732828,2023-10-31 21:49:00,Burglary
Ameerpet,17.44180840244334,78.45063307664128,2023-10-20 22:18:00,Burglary
Kukatpally,17.503778885387604,78.3975343283157,2023-06-15 12:40:00,Burglary
Miyapur,17.495678488216075,78.36797295831589,2023-07-17 00:27:00,Kidnapping
Chintal,17.490927253463777,78.45286753219155,2023-08-28 15:54:00,Theft
Ameerpet,17.442638351930654,78.44563189691581,2023-08-18 19:04:00,Kidnapping
Chintal,17.473238744673306,78.45436165090612,2023-07-08 02:16:00,Auto Theft
Chintal,17.49194655185667,78.43834644636077,2023-06-26 15:06:00,Theft
Chintal,17.48297693680751,78.42406120673371,2023-01-05 06:34:00,Ganja Smuggling
Chintal,17.4968984810353,78.45676013544671,2023-10-31 05:04:00,Auto Theft
Ameerpet,17.44274888778664,78.46601625090426,2023-01-16 13:51:00,Robbery
Ameerpet,17.438125027332493,78.44039525993675,2023-05-03 06:36:00,Kidnapping
Chintal,17.482788918276974,78.45905124275218,2023-08-07 09:10:00,Auto Theft
Miyapur,17.50638882737309,78.36303309806655,2023-01-07 07:18:00,Burglary
Chintal,17.489605679776286,78.45710296249254,2023-04-20 02:07:00,Auto Theft
Ameerpet,17.441432631513837,78.45501445080357,2023-10-10 12:45:00,Ganja Smuggling
Kukatpally,17.515957557219167,78.39754745370387,2023-03-10 09:51:00,Burglary
Miyapur,17.49549177009815,78.37178564838865,2023-04-16 19:20:00,Burglary
Miyapur,17.513356483014192,78.35219704555807,2023-02-20 11:55:00,Ganja Smuggling
Ameerpet,17.4271842375313,78.44290701762453,2023-07-03 16:20:00,Ganja Smuggling
Kukatpally,17.48168778989825,78.41158444952832,2023-12-03 09:30:00,Assault
Ameerpet,17.443635179727305,78.43797207434801,2023-12-08 13:52:00,Ganja Smuggling
Ameerpet,17.44881252790398,78.44545252504825,2023-11-03 08:04:00,Burglary
Ameerpet,17.421881931386046,78.4682173710253,2023-01-22 22:25:00,Burglary
Miyapur,17.509669435632325,78.36119302757682,2023-07-14 09:22:00,Robbery
Banjara Hills,17.417928598928135,78.42216191766208,2023-06-30 15:16:00,Ganja Smuggling
Chintal,17.491516255054915,78.44144389718919,2023-10-17 05:35:00,Ganja Smuggling
Miyapur,17.49973800127606,78.35388510021008,2023-09-27 11:56:00,Theft
Ameerpet,17.453600674686935,78.43174223470484,2023-07-26 09:10:00,Theft
Ameerpet,17.425944319518944,78.45139223342196,2023-12-25 10:03:00,Robbery
Kukatpally,17.48185318524279,78.41120826787379,2023-04-17 05:59:00,Burglary
Ameerpet,17.437030794211207,78.45297040827224,2023-02-01 01:38:00,Kidnapping
Miyapur,17.516010342980202,78.35090021409586,2023-01-14 18:16:00,Theft
Banjara Hills,17.41908924210507,78.42078003662813,2023-09-15 15:20:00,Kidnapping
Ameerpet,17.451545433740108,78.43214456593358,2023-05-08 01:18:00,Auto Theft
Ameerpet,17.449645092853054,78.44730477389751,2023-01-19 03:55:00,Burglary
Ameerpet,17.43233551058278,78.44864243854224,2023-12-27 01:17:00,Robbery
Chintal,17.49477629543637,78.44881945885808,2023-04-21 01:32:00,Ganja Smuggling
Kukatpally,17.502126400772156,78.39879283419891,2023-04-22 18:08:00,Theft
Kukatpally,17.503963276747026,78.40306488475899,2023-08-10 06:47:00,Ganja Smuggling
Kukatpally,17.51568374704781,78.39820410371846,2023-01-09 09:55:00,Ganja Smuggling
Banjara Hills,17.405273158087425,78.43975427146626,2023-12-14 23:16:00,Theft
Banjara Hills,17.423330873454105,78.43306039120398,2023-02-03 13:20:00,Ganja Smuggling
Miyapur,17.49547155836864,78.35653205653365,2023-01-20 21:05:00,Theft
Miyapur,17.49851099046715,78.36730654396008,2023-12-05 21:31:00,Assault
Chintal,17.49855525932958,78.4601703030556,2023-10-23 05:06:00,Theft
Banjara Hills,17.420991848677165,78.45285372684828,2023-11-18 09:05:00,Robbery
Chintal,17.484154924936433,78.4503619098203,2023-11-29 04:46:00,Theft
Ameerpet,17.449731901054268,78.45514233410486,2023-12-03 18:45:00,Assault
Miyapur,17.503714662737853,78.36315396932216,2023-04-19 16:18:00,Auto Theft
Kukatpally,17.48010920439364,78.39060838372998,2023-02-06 01:24:00,Ganja Smuggling
Chintal,17.47471977416564,78.43186259284413,2023-05-25 23:46:00,Auto Theft
Chintal,17.49813565719386,78.47076128965936,2023-09-07 02:10:00,Auto Theft
Miyapur,17.484615132780736,78.3599207941882,2023-11-11 21:29:00,Robbery
Chintal,17.497317654869917,78.44505168616492,2023-04-26 18:23:00,Theft
Ameerpet,17.423604275332362,78.43174601253043,2023-10-09 02:12:00,Ganja Smuggling
Ameerpet,17.413335482347875,78.44286896075135,2023-10-19 19:02:00,Kidnapping
Miyapur,17.498294168128314,78.37500780376716,2023-02-11 02:22:00,Auto Theft
Ameerpet,17.438793069751664,78.45200047463459,2023-11-24 15:48:00,Auto Theft
Kukatpally,17.494463134730914,78.39009651816899,2023-05-22 07:42:00,Burglary
Kukatpally,17.486510719191344,78.40123477479167,2023-11-14 14:53:00,Robbery
Miyapur,17.490466764347783,78.34093188284406,2023-06-28 17:28:00,Kidnapping
Kukatpally,17.489396778168626,78.40473540708165,2023-12-01 21:18:00,Theft
Miyapur,17.48827378584511,78.3552965807742,2023-08-12 03:33:00,Theft
Ameerpet,17.43875224502648,78.44390594458875,2023-05-28 02:30:00,Kidnapping
Banjara Hills,17.409760581891177,78.43871192216328,2023-12-29 11:58:00,Robbery
Miyapur,17.503897499398782,78.35426253319173,2023-06-11 12:41:00,Assault
Banjara Hills,17.423298504987013,78.42557051926977,2023-10-26 09:07:00,Burglary
Miyapur,17.502366782085303,78.36361006238742,2023-05-17 11:53:00,Theft
Miyapur,17.49202853537616,78.3509394289813,2023-12-21 22:03:00,Robbery
Chintal,17.485647123411223,78.44700179300267,2023-02-17 11:48:00,Ganja Smuggling
Ameerpet,17.443087407526118,78.43630054946634,2023-05-23 21:28:00,Kidnapping
Banjara Hills,17.41171717951649,78.46049709337655,2023-08-16 06:12:00,Robbery
Kukatpally,17.47611799600045,78.37985862551665,2023-06-09 02:24:00,Assault
Ameerpet,17.441399605860298,78.46024068018885,2023-07-25 13:57:00,Robbery
Banjara Hills,17.401592207171635,78.4275870137524,2023-02-17 05:28:00,Ganja Smuggling
Ameerpet,17.44988549954912,78.44605067494014,2023-07-09 12:20:00,Burglary
Kukatpally,17.481346315477648,78.407840148306,2023-04-25 23:35:00,Robbery
Kukatpally,17.474862643574287,78.40334056569849,2023-06-09 03:49:00,Robbery
Ameerpet,17.444449979007768,78.46766542837514,2023-07-08 18:30:00,Kidnapping
Ameerpet,17.438464337187934,78.44139112717961,2023-11-12 09:39:00,Auto Theft
Banjara Hills,17.425712102303926,78.44164406318946,2023-07-22 04:06:00,Robbery
Chintal,17.464144272758336,78.44330702760428,2023-05-10 20:34:00,Auto Theft
Banjara Hills,17.421253169020204,78.44234096078497,2023-01-14 00:32:00,Theft
Banjara Hills,17.41023419649271,78.43073606164953,2023-06-29 12:23:00,Ganja Smuggling
Chintal,17.48905427330743,78.4729573395542,2023-01-14 07:29:00,Auto Theft
Ameerpet,17.426794056617645,78.43930253898213,2023-03-28 10:41:00,Theft
Banjara Hills,17.400396826227844,78.42751318074558,2023-11-08 08:10:00,Assault
Ameerpet,17.439433306669528,78.44723726691798,2023-05-17 03:29:00,Ganja Smuggling
Kukatpally,17.49845300993022,78.41362072147218,2023-11-14 22:28:00,Burglary
Miyapur,17.47134961547465,78.35708202711523,2023-07-19 12:33:00,Auto Theft
Kukatpally,17.49853058935321,78.41961945966804,2023-02-21 07:01:00,Assault
